PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
3TGW,90,90,90,73.933,95.802,130.268,460,-0.167,5.52,42.39,6.96,2.83,12.39,19.78,10.22,46.96,53.04,-21.3,2.30E-16,21,16,81,3,36,47,31.63,42.36,883
3TIV,90,90,90,73.715,95.77,130.158,460,-0.167,5.69,42.39,6.96,2.83,12.61,19.57,10.22,46.96,53.04,-21.8,1.10E-16,22,14,82,3,37,45,31.83,42.13,898
3TK1,90,90,90,42.38,106.43,134.04,330,-0.035,6.42,46.97,3.03,3.33,14.55,17.27,11.21,51.52,48.48,-11,8.50E-09,15,5,39,2,16,86,35.6,45.93,573
3TKJ,90,90,90,111.682,111.371,119.5,319,-0.184,6.7,45.77,3.76,4.7,14.42,17.55,10.34,38.56,61.44,-13.9,6.20E-11,18,12,47,11,26,54,35.05,39.27,596
3TL9,90,90,90,59.414,86.1,46.097,103,0.21,10.21,47.57,6.8,1.94,11.65,16.5,9.71,47.57,52.43,-12.4,7.80E-10,7,3,12,10,42,73,24.84,50.98,183
3TLA,90,101.17,90,54.424,85.916,73.056,371,-0.252,7.35,35.58,9.7,2.96,15.9,17.52,13.75,40.97,59.03,-16,1.90E-12,22,24,26,9,37,38,30.5,37.83,665
3TLO,90,109.2,90,63.144,83.497,64.852,303,0.145,6.88,40.59,9.9,5.61,9.9,16.5,15.18,44.88,55.12,-16.2,1.30E-12,9,11,27,12,41,36,18.93,40.89,563
3TN3,90,99.19,90,51.307,88.146,89.994,360,-0.283,6.26,37.78,8.61,5.83,14.44,18.61,9.72,45.83,54.17,-12.5,7.10E-10,16,7,43,3,18,67,32.78,44.18,663
3TNB,90,98.86,90,51.293,88.8,89.314,360,-0.288,6.13,37.5,8.61,5.83,14.44,18.89,9.72,45.56,54.44,-12.2,1.00E-09,16,7,43,3,17,64,32.71,44.24,659
3TP9,90,90,90,169.335,169.335,77.797,474,-0.121,6.2,44.73,7.59,2.74,14.35,16.88,7.17,44.94,55.06,-9.7,7.80E-08,12,2,12,8,29,21,29.09,51.27,827
3TR8,90,112.41,90,117.656,61.3,58.094,186,-0.31,6.02,35.48,7.53,3.23,15.05,22.58,12.9,47.85,52.15,-13.2,2.10E-10,14,22,18,2,22,34,31.58,32.71,378
3TTP,90,90,120,61.66,61.66,83.07,99,0.154,8.23,44.44,6.06,4.04,10.1,18.18,10.1,50.51,49.49,-13.6,1.10E-10,5,5,12,11,46,77,22.82,48.99,150
3TW2,90,94.42,90,77.421,46.449,64.034,126,-0.175,6.96,42.06,5.56,4.76,17.46,18.25,6.35,43.65,56.35,-18,6.10E-14,18,10,61,3,30,67,31.17,40.91,307
3TWK,90,90,90,93.054,93.054,157.7,297,-0.328,8.45,36.7,8.08,2.02,17.51,18.52,11.78,42.42,57.58,-8.8,3.30E-07,10,11,32,4,6,30,35.21,37.32,461
3TY2,90,90,90,77.331,95.953,69.06,261,-0.093,5.33,42.15,6.51,3.45,11.49,18.39,10.73,44.44,55.56,-20.8,5.60E-16,20,10,55,15,57,114,27.68,46.61,430
3TYP,90,90,120,52.282,52.282,252.484,155,-0.365,4.56,34.84,10.32,2.58,12.26,21.94,11.61,50.97,49.03,-4.8,2.80E-04,1,6,4,8,10,35,32.93,41.46,256
3U0A,90,90,90,102.13,138.16,81.18,285,-0.275,5.74,38.6,9.12,2.81,12.28,19.65,11.23,46.67,53.33,-25,4.40E-19,21,43,75,7,60,64,25.86,48.56,468
3U14,90,91.92,90,66.98,107.67,96.46,535,-0.326,4.75,31.4,13.83,1.31,9.91,24.49,14.02,41.12,58.88,-15.7,3.20E-12,6,26,14,29,57,26,27.16,30.71,915
3U1X,92.98,91.64,117.97,38.69,41.214,77.324,236,-0.751,4.57,30.51,14.83,2.54,12.29,25,11.44,41.53,58.47,-8.4,7.50E-07,11,4,15,1,4,3,34.24,32.73,403
3U7S,90,90,120,62.54,62.54,82.64,99,0.246,5.74,44.44,6.06,6.06,8.08,19.19,9.09,53.54,46.46,-14.1,4.70E-11,5,4,12,11,48,83,20.27,50.68,158
3U96,104.78,108.79,97.83,49.863,53.993,65.759,306,-0.447,8.94,35.62,4.58,5.23,13.4,20.92,15.69,47.39,52.61,-4.4,5.80E-04,2,18,11,24,10,1,29.1,34.13,682
3UET,90,90,90,82.588,105.971,120.715,478,-0.386,4.96,37.87,8.79,3.14,12.34,20.71,12.34,45.82,54.18,-10.1,4.00E-08,11,15,8,14,29,8,31.73,38.25,919
3UFN,90,90,90,28.83,66.26,93.167,99,0.056,9.84,45.45,7.07,2.02,12.12,17.17,9.09,45.45,54.55,-13.4,1.40E-10,7,2,13,11,48,78,26.32,51.32,152
3UL6,90,90,120,83.8,83.8,142.57,139,-0.594,9.12,37.41,5.76,5.76,20.86,19.42,8.63,42.45,57.55,-16,1.70E-12,19,17,49,2,24,69,30.94,39.57,118
3UM9,90,90,120,96.64,96.64,92.03,230,-0.007,5.04,39.13,10.43,4.78,10.43,18.7,13.48,48.7,51.3,-12.6,6.20E-10,3,8,26,1,23,36,25.5,41.61,461
3UPM,90,90,90,85.563,85.387,88.265,327,0.076,6.69,43.43,7.65,2.14,11.62,16.21,14.68,44.95,55.05,-13.3,1.80E-10,11,10,38,8,28,33,28.54,44.7,630
3UR2,90,90,90,85.061,85.243,87.667,329,0.066,7.06,43.47,7.6,2.13,11.85,15.81,14.89,45.29,54.71,-13.1,2.70E-10,11,11,36,8,28,34,28.61,44.78,640
3UR5,90,90,90,85.483,85.985,88.006,327,0.059,6.89,43.43,7.34,2.14,12.23,15.9,14.68,44.65,55.35,-13.6,1.10E-10,11,10,38,8,29,34,28.64,44.22,660
3UR9,90,90,90,37.649,66.865,125.109,188,-0.005,7.97,40.96,6.91,6.38,14.36,12.23,13.83,41.49,58.51,-6.4,2.20E-05,4,6,7,4,10,10,19.17,50.83,280
3URB,90,90,90,85.468,86.396,88.118,327,0.079,6.52,43.73,7.34,2.14,11.62,15.9,14.98,44.95,55.05,-13.2,2.00E-10,10,12,36,8,28,34,27.81,43.88,633
3URN,90,90,90,85.498,86.103,88.741,327,0.069,6.69,43.43,7.65,2.14,11.62,15.9,14.98,44.95,55.05,-13.5,1.30E-10,12,12,36,8,29,35,28.5,44.23,668
3V48,90,90,90,79.597,79.597,161.753,268,0.079,6.36,45.52,7.09,4.48,11.19,17.91,8.21,48.51,51.49,-9.6,9.80E-08,9,10,36,1,4,35,21.58,45.9,466
3V4J,90,107.38,90,53.08,67.764,64.472,207,-0.6,6.34,28.02,12.08,5.31,15.46,23.19,11.11,45.41,54.59,-6.5,1.70E-05,5,5,5,2,3,2,29.01,35.84,314
3V6L,90,90,120,126.35,126.35,165.82,282,-0.376,6.86,31.56,10.64,5.67,18.44,20.21,10.28,45.04,54.96,-11.5,3.70E-09,12,8,25,10,24,47,36.36,35.06,452
3V9M,90,90,120,82.38,82.38,28.9,118,-0.56,8.43,27.97,11.02,12.71,15.25,18.64,9.32,38.98,61.02,-8.5,5.40E-07,1,6,4,6,15,7,26.04,34.9,212
3VAY,90,108.13,90,44.325,92.274,70.191,230,-0.185,4.62,42.61,8.26,1.3,13.04,22.17,6.52,45.22,54.78,-5.7,6.30E-05,10,1,16,0,1,17,33.14,45.06,410
3VV3,90,90,90,70.792,72.454,137.627,334,-0.128,3.77,44.91,5.39,2.4,5.09,23.05,15.57,31.74,68.26,-10.2,3.10E-08,6,14,18,6,18,18,21.55,42.86,668
3W0D,90,90,120,40.71,40.71,135.53,68,-0.265,4.37,36.76,4.41,5.88,8.82,29.41,8.82,50,50,-9.6,9.40E-08,1,3,12,0,15,17,21.93,42.98,119
3W6O,90,90,90,51.24,109.07,128.3,364,-0.275,6.9,39.56,3.85,2.47,14.56,22.8,12.09,49.18,50.82,-10,4.90E-08,13,14,20,14,22,26,31.14,38.32,576
3WBH,90,105.21,90,52.713,146.974,58.28,527,-0.278,4.16,39.47,7.59,3.23,9.11,24.1,11.95,43.45,56.55,-34.5,4.70E-26,10,40,88,18,104,159,37.04,32.66,1053
3WHI,90,90,120,135.202,135.202,151.606,365,-0.163,9.17,42.47,6.85,1.64,9.86,15.34,19.45,34.25,65.75,-8.4,7.30E-07,4,11,8,18,15,3,22,29.93,653
3WMT,90,90,90,93.954,142.937,73.81,522,-0.304,4.78,34.67,12.45,3.83,8.43,20.11,16.48,37.36,62.64,-15,9.20E-12,7,22,32,8,29,38,21.78,36.2,989
3WO8,90,90,120,133.457,133.457,142.33,478,-0.131,5.28,37.03,9.83,3.14,14.64,19.46,11.51,46.65,53.35,-19.8,2.80E-15,14,30,47,11,55,65,42.72,35.07,826
3WUY,90,90,120,113.545,113.545,161.009,349,-0.075,6.44,40.4,7.45,5.16,11.75,18.91,10.6,46.7,53.3,-8.1,1.20E-06,11,9,18,0,6,8,26.24,45.3,560
3WVA,90,102.61,90,45.01,72.73,45.63,170,-0.12,8.18,38.82,10.59,3.53,15.88,20,9.41,45.29,54.71,-10.7,1.30E-08,12,6,23,2,18,59,38.94,37.17,349
3WX7,90,90,90,61.819,104.106,140.378,402,-0.416,4.39,33.83,11.19,2.74,8.21,24.63,13.68,38.06,61.94,-7,7.70E-06,4,12,15,31,22,12,21.49,36.43,791
3WYD,90,90,90,45.861,55.446,156.275,228,-0.43,8.85,36.84,8.77,5.26,17.98,14.91,9.65,39.04,60.96,-5.5,8.90E-05,0,2,8,3,8,20,35.83,40.16,351
3WYK,90,90,90,49.696,81.696,161.192,338,-0.234,6.44,31.95,10.06,6.8,13.31,20.71,13.02,50,50,-8.4,6.70E-07,12,7,5,1,8,13,26.88,37.85,654
3ZBW,90,100.99,90,28.196,95.673,41.669,121,-0.83,9,21.49,14.05,6.61,18.18,20.66,12.4,40.5,59.5,-7.4,3.50E-06,5,10,0,5,10,0,30.15,32.66,224
3ZGV,90,90,90,77.86,77.98,114.33,325,-0.163,5.45,34.77,10.15,6.15,13.23,18.77,12,48.62,51.38,-11.8,2.20E-09,0,1,13,0,28,52,31.9,39.59,473
3ZHC,90,90,120,121.51,121.51,129.11,433,-0.321,6.66,33.72,7.39,4.39,11.78,21.71,15.01,47.81,52.19,-12.1,1.30E-09,16,21,13,7,22,5,29.5,33.02,744
3ZJE,99.14,100.28,97.09,43.85,69.15,84.7,366,-0.487,7.37,30.87,9.56,4.92,16.94,23.22,10.11,52.19,47.81,-7.4,3.60E-06,15,6,8,3,4,14,36.11,32.48,583
3ZOA,90,90,90,127.18,127.18,216.95,593,-0.45,4.56,33.22,12.65,3.04,11.97,22.93,9.11,47.05,52.95,-10.5,1.90E-08,0,2,10,2,23,34,31.76,36.77,1101
3ZPX,90,90,90,54.753,100.15,129.158,458,-0.192,6.23,39.74,10.92,1.31,10.04,19.43,12.45,37.34,62.66,-7.3,4.10E-06,5,6,6,0,8,36,22.81,44.6,772
3ZTY,90,95.04,90,39.692,70.835,92.735,259,-0.229,8.39,47.88,7.34,0.77,15.44,15.06,5.41,50.58,49.42,-5.2,1.50E-04,14,3,19,1,4,22,35.75,52.15,459
3ZWF,90,98.69,90,59.52,73.79,73.66,368,-0.121,6.64,38.86,7.61,4.35,14.67,18.75,10.6,46.2,53.8,-13.7,8.20E-11,4,6,20,3,37,35,30.5,43.7,519
3ZWN,90,100.94,90,69.494,57.852,71.303,260,-0.317,8.39,32.31,12.69,5.38,15.38,18.85,10,44.62,55.38,-12.5,6.60E-10,18,12,32,3,16,29,32.72,36.68,461
3ZYC,90,96.68,90,44.151,82.635,95.014,353,-0.31,6.19,37.96,5.38,2.83,14.16,23.23,11.05,47.31,52.69,-10,5.00E-08,15,20,23,11,17,22,31.81,37.57,623
3ZZ4,90,125.48,90,82.45,64.73,82.34,184,-0.191,7.66,39.13,9.78,5.43,13.04,19.57,8.7,45.11,54.89,-6.1,3.50E-05,4,6,3,1,7,0,30.52,41.37,280
4A1F,90,90,90,100.859,102.164,85.141,338,-0.497,5.23,35.5,6.51,3.25,15.68,26.04,11.24,51.18,48.82,-12.8,4.10E-10,18,28,36,7,18,21,36.94,32.45,563
4A5B,90,90,90,73.73,150.4,242.36,611,-0.276,6.18,35.84,7.04,4.26,13.91,20.95,13.26,46.64,53.36,-10.4,2.30E-08,5,23,33,4,13,18,32.35,37.44,1061
4AG0,90,90,90,64.53,87.66,108.24,274,-0.12,6.68,40.88,7.3,1.82,12.77,21.17,11.68,47.45,52.55,-14.3,3.40E-11,10,20,57,4,15,24,22.55,41.85,448
4AJF,90,90,90,49.371,81.798,156.596,328,-0.217,6.56,31.71,10.37,7.32,13.41,20.73,12.5,50.91,49.09,-9.6,8.40E-08,10,6,9,2,13,28,27.37,37.05,664
4AK6,90,90,90,85.26,96.55,103.44,404,-0.782,6.63,29.46,11.39,4.46,16.34,20.05,13.12,41.58,58.42,-27.5,7.30E-21,33,38,81,12,61,75,38.57,31.43,663
4AK7,90,90,90,83.9,93.55,104.96,404,-0.782,6.92,29.46,11.39,4.46,16.58,19.8,13.12,41.34,58.66,-28.4,1.60E-21,36,41,84,13,62,78,38.13,30.22,699
4AN6,90,90,90,40.431,60.428,105.536,185,-0.548,5.86,32.43,8.65,2.16,15.14,21.62,13.51,40.54,59.46,-13.3,1.80E-10,5,17,19,1,28,25,35.14,33.98,261
4AQD,90,90,90,72.75,79.26,227.2,531,-0.284,7.78,33.9,12.99,2.82,11.49,20.15,12.99,42.56,57.44,-8.1,1.10E-06,2,10,10,14,19,7,28.02,35.77,975
4ATD,90,90,90,102.237,127.253,216.111,513,-0.44,6.2,33.33,12.87,3.31,12.28,20.08,13.45,41.72,58.28,-9.6,8.40E-08,6,14,2,4,20,2,31.59,34.55,948
4AZ1,90,90,120,154.285,154.285,195.746,302,-0.173,7.49,37.42,8.61,3.97,12.58,18.87,13.25,49.67,50.33,-10.1,3.70E-08,9,7,20,1,12,15,29.43,38.15,573
4B5Q,90,117.41,90,149.308,37.521,79.848,217,-0.307,4.28,35.48,12.44,1.84,5.53,20.74,15.21,40.55,59.45,-7.6,2.50E-06,3,3,8,10,11,11,13.86,42.9,343
4BJ4,90,90,90,48.759,100.421,104.26,246,-0.407,6.98,39.02,8.94,0.81,13.82,19.11,10.57,45.93,54.07,-16.9,4.10E-13,16,38,24,17,54,24,28.65,42.42,466
4BMY,90,90,90,54.849,123.414,145.853,251,0.151,6.14,41.43,7.17,3.98,13.94,18.33,12.75,43.82,56.18,-11.1,7.30E-09,17,11,30,7,20,36,31.08,44.59,438
4BNQ,90,90,90,54.403,101.542,102.016,195,-0.364,4.63,37.95,8.21,2.56,12.31,25.64,10.26,41.54,58.46,-7.4,3.60E-06,8,5,17,1,5,21,33.56,38.98,349
4BOL,90,90,90,47.63,97.234,104.169,259,-0.298,7.32,39.77,8.88,1.16,13.51,18.15,11.2,46.72,53.28,-17.5,1.60E-13,18,37,23,16,55,24,29.3,41.69,436
4BPA,90,90,90,45.23,93.56,104.35,259,-0.296,7.29,39.77,8.88,1.16,13.51,18.15,11.2,46.72,53.28,-19.7,3.40E-15,21,40,23,18,65,37,30.47,40.24,416
4BQQ,90,90,90,96.04,96.04,117.23,396,-0.464,8.22,35.86,8.08,3.79,16.67,18.18,12.12,45.71,54.29,-14.7,1.80E-11,16,12,48,1,22,72,33.64,41.5,627
4BR1,90,90,90,68.301,77.317,87.311,246,-0.128,6.91,43.5,6.91,2.85,13.01,19.51,10.57,43.5,56.5,-14.3,3.20E-11,14,22,35,10,32,50,33.55,38.16,474
4BRD,90,106.78,90,62.134,86.045,71.977,368,-0.418,4.91,32.34,10.6,4.08,9.78,26.09,11.96,47.28,52.72,-14.9,1.20E-11,12,18,19,7,26,25,21.08,30.52,750
4BRK,90,90,90,80.6,82.967,109.578,368,-0.412,5,32.34,10.87,4.08,9.78,25.82,11.96,47.55,52.45,-15.2,6.80E-12,11,14,16,10,32,22,21.38,30.55,749
4BRZ,90,92.94,90,54.97,75.52,64.87,290,-0.299,4.68,36.9,9.31,3.1,12.76,21.03,11.03,45.52,54.48,-9.8,6.10E-08,24,5,29,0,2,23,35.36,36.68,591
4C2E,117.09,90.45,102.71,54.052,72.687,79.569,446,-0.59,8.55,34.98,6.73,2.47,17.71,22.87,11.66,41.26,58.74,-18,6.10E-14,34,19,59,3,23,89,39.09,33.59,858
4C7L,90,90,90,92.83,108.76,125.05,386,-0.37,6.65,30.05,15.03,4.92,10.62,19.95,14.51,40.16,59.84,-13.3,1.80E-10,0,2,9,12,37,73,21.4,35.6,600
4CE6,90,90,90,43.094,68.875,157.178,236,-0.026,5.29,38.56,8.05,2.97,10.59,16.1,14.83,41.53,58.47,-14.9,1.20E-11,19,3,21,7,37,51,26.49,44.37,471
4CI7,90,93.57,90,50.91,73.49,125.63,470,-0.571,5.09,30.85,12.13,2.98,10.85,21.28,17.87,37.02,62.98,-6.7,1.20E-05,3,11,9,10,6,2,28.87,31.1,896
4CMV,90,90,90,57.705,94.983,111.161,296,-0.262,5.83,33.45,13.51,3.38,13.85,19.26,12.16,47.3,52.7,-19.4,5.40E-15,24,18,80,19,35,117,31.33,35.66,557
4COB,90,90,120,112.721,112.721,90.761,215,-0.078,5.44,41.86,5.58,3.72,12.09,16.74,9.3,45.12,54.88,-18.8,1.60E-14,12,22,75,1,30,65,25.27,47.65,370
4CPO,90,90,120,159.49,159.49,89.547,466,-0.227,6.71,34.76,9.44,6.87,12.45,15.88,15.88,42.7,57.3,-14.2,3.60E-11,14,12,53,8,20,55,32.98,36.15,728
4CQB,90,104.69,90,106.474,86.733,114.175,423,-0.211,6.13,39.01,7.33,3.55,15.84,19.86,11.58,45.15,54.85,-16,1.90E-12,9,26,40,12,43,28,39.7,36.05,903
4CQC,90,103.93,90,106.234,87.28,114.364,423,-0.199,6.06,39.24,7.33,3.55,15.6,19.86,11.58,45.15,54.85,-15.3,6.50E-12,7,25,42,12,40,27,39.74,36.32,854
4CQD,90,104.58,90,106.346,87.063,113.859,423,-0.199,6.06,39.24,7.33,3.55,15.6,19.86,11.58,45.15,54.85,-15.9,2.30E-12,8,26,42,12,42,27,39.83,35.97,911
4D1Y,90,108.34,90,122.601,40.851,71.645,200,-0.06,6.16,38,9.5,6.5,13.5,21,8.5,40,60,-9.1,2.00E-07,2,10,12,0,16,35,30.38,40.93,294
4D3Q,90,90,120,86.064,86.064,93.539,147,0.012,5.59,38.1,9.52,3.4,10.88,19.73,14.97,42.18,57.82,-9.3,1.50E-07,0,8,12,3,13,16,28.12,33.85,251
4DJ4,90,90,120,113.322,113.322,138.322,277,-0.376,5.5,33.57,11.19,5.78,14.08,22.38,10.83,45.13,54.87,-8.6,4.60E-07,11,18,16,2,3,8,32.17,31.01,558
4DK4,90,90,90,58.84,83.19,91.18,290,-0.307,5.63,37.59,9.31,3.45,12.41,21.72,11.38,43.1,56.9,-10.1,3.80E-08,5,6,29,6,16,36,29.56,40.57,462
4DO3,90,90,90,103.47,104.37,147.62,571,-0.115,8.32,37.83,7.71,5.43,12.78,16.29,13.13,46.58,53.42,-12.7,4.80E-10,8,12,27,11,31,44,26.4,42.4,1144
4DQF,90,90,90,51.978,57.379,60.678,99,0.18,10.21,49.49,5.05,2.02,12.12,17.17,8.08,48.48,51.52,-13.3,1.80E-10,7,2,15,11,45,81,25.17,50.33,156
4DY0,90,90,90,140.65,140.65,93.55,379,-0.007,9.99,37.73,7.65,3.43,13.46,17.94,14.25,42.22,57.78,-10.2,3.30E-08,9,21,12,5,18,17,29.63,36.42,665
4DYK,90,90,90,73.906,98.776,119.82,451,-0.048,5.4,44.79,5.99,3.77,12.64,20.18,7.54,48.78,51.22,-17.9,7.70E-14,12,23,61,7,39,71,33.4,43.7,848
4DYW,90,90,90,78.04,78.04,113.92,157,-0.27,6.36,43.31,4.46,4.46,17.2,18.47,5.73,50.32,49.68,-6.5,1.70E-05,8,3,28,0,2,40,33.84,46.97,197
4E3W,90,90,90,62.031,62.031,210.411,342,-0.358,8.92,36.26,9.65,3.8,13.16,21.05,11.4,45.91,54.09,-15.2,6.80E-12,5,8,18,9,41,45,27.4,36.07,633
4E8C,90,106.84,90,80.351,82.374,99.596,595,-0.452,4.79,32.94,13.61,3.7,12.77,22.69,9.24,49.08,50.92,-13.6,1.10E-10,13,15,52,0,12,23,36.62,34.51,1161
4EBB,90,90,90,61.089,96.447,192.137,472,-0.227,5.47,38.35,12.5,2.97,11.23,19.7,9.75,43.64,56.36,-4.3,7.30E-04,0,0,1,0,0,0,26.83,43.17,805
4EFZ,90,90,90,79.32,83.5,96.44,298,-0.134,5.94,40.6,7.38,4.7,13.42,16.44,11.74,42.28,57.72,-3.9,1.50E-03,9,2,0,0,0,0,29.48,47.42,569
4EHI,90,90,90,93.881,101.234,114.294,534,-0.207,5.85,39.14,9.36,3.56,14.79,22.47,8.61,41.01,58.99,-27.5,6.80E-21,42,59,106,17,55,139,34.35,39.75,871
4EIB,90,90,90,66.945,66.945,44.356,109,-0.461,7.47,30.28,16.51,1.83,8.26,20.18,21.1,34.86,65.14,-10.8,1.30E-08,3,9,7,4,12,14,17.2,30.65,145
4EKR,90,93.21,90,48.17,75.63,52.8,187,-0.479,8.87,35.83,9.09,4.81,18.18,21.39,8.56,45.45,54.55,-7.4,3.50E-06,7,6,5,1,9,6,32.39,37.68,365
4EP4,90,90,90,36.777,51.151,134.91,166,0.209,9.92,53.01,6.63,2.41,16.27,12.65,3.61,48.8,51.2,-7.6,2.60E-06,5,1,32,2,10,62,28.81,52.97,290
4EQI,90,103.27,90,42.33,85.43,70.28,283,-0.263,8.2,38.87,7.77,3.18,12.37,19.43,14.13,41.34,58.66,-10.4,2.40E-08,6,6,7,0,18,7,27.79,37.87,617
4ET0,90,90,120,108.638,108.638,275.144,327,-0.179,6.7,46.18,3.67,4.59,14.07,17.13,11.01,37.61,62.39,-14,5.10E-11,18,14,46,10,26,56,34.71,39.41,590
4ETK,90,90,90,78.196,133.661,29.937,167,-0.093,7.35,50.3,2.99,1.8,17.37,16.77,7.78,44.31,55.69,-5.3,1.30E-04,14,5,7,0,4,4,30.57,50.19,307
4ETM,90,102.84,90,70.152,52.922,86.609,173,-0.262,4.72,38.73,6.36,6.94,12.14,22.54,10.4,46.82,53.18,-6.4,1.90E-05,3,3,8,4,10,9,35.65,38.26,292
4EWL,90,128.29,90,147.379,71.903,97.681,299,-0.085,5.13,48.16,6.35,1,11.71,16.39,11.37,41.14,58.86,-8.9,3.20E-07,5,10,17,1,18,30,23.47,53.05,542
4EY2,90,90,90,39.12,79.36,133.83,270,0.01,6.34,43.7,6.3,5.19,10.37,17.41,11.48,37.78,62.22,-8.3,8.90E-07,8,6,10,6,17,15,22.91,47.99,476
4EY5,90,90,120,105.222,105.222,323.289,542,-0.11,6.15,40.96,10.89,2.4,10.52,16.61,9.96,46.31,53.69,-7.6,2.90E-06,5,2,13,2,10,29,26.54,44.83,1004
4F0L,92.75,95.49,112.32,53.592,62.192,68.926,458,-0.142,5.53,44.32,7.42,3.93,13.32,18.78,8.73,44.32,55.68,-18.2,4.80E-14,35,36,73,5,24,50,30.78,46.09,917
4F1W,90,90,90,66.05,68.12,89.66,248,0.16,6.26,47.58,4.84,4.03,13.31,17.74,10.08,43.15,56.85,-12.5,7.40E-10,13,1,35,1,18,46,28.18,43.99,486
4F7O,90,100.27,90,161.734,46.505,71.261,257,-0.313,6.79,35.41,11.28,5.45,12.06,20.23,11.67,47.86,52.14,-10.4,2.20E-08,6,8,22,0,12,20,22.31,42.36,325
4FBM,90,90,90,170.65,170.65,46.83,293,-0.144,7.2,40.61,5.8,4.44,13.99,15.02,12.63,43.34,56.66,-8.8,3.30E-07,7,4,10,3,23,43,29.97,49.51,438
4FBQ,90,90,90,59.256,79.032,222.968,472,-0.463,6.71,33.47,9.11,1.91,14.62,22.25,13.35,44.7,55.3,-13.5,1.20E-10,10,17,37,5,21,27,33.64,33.09,727
4FCJ,90,90,90,42.621,71.403,87.989,142,-0.421,9.34,33.8,10.56,4.93,16.2,21.83,9.15,45.07,54.93,-13.7,8.60E-11,6,10,31,10,30,35,24.32,39.46,271
4FCX,90,90,90,76.408,82.262,164.296,404,-0.31,5.77,35.15,9.16,1.98,13.12,22.03,12.38,46.29,53.71,-15.9,2.00E-12,11,14,42,1,25,53,31.53,34.04,570
4FDI,90,113.76,90,61.372,155.522,62.555,502,-0.361,6.82,35.46,10.76,3.19,13.15,18.92,10.36,42.23,57.77,-11.2,5.90E-09,8,8,38,8,17,40,23.28,44.72,914
4FDL,90,90,120,88.423,88.423,185.523,305,-0.505,5.69,30.16,9.18,5.9,15.41,23.61,11.8,42.95,57.05,-18.5,2.60E-14,23,19,57,8,31,53,35.9,31.09,443
4FGU,90,90,120,185.1,185.1,173.07,429,-0.525,6.59,31.24,9.09,5.13,16.55,20.28,12.12,46.39,53.61,-6.3,2.60E-05,0,1,0,0,1,0,29.78,31.07,603
4FKB,90,96.69,90,117.824,81.001,99.529,388,-0.386,6.58,37.11,11.6,2.06,12.89,18.81,12.89,43.04,56.96,-8.4,7.30E-07,0,3,11,0,12,18,29.41,39.29,914
4FLM,73.92,80.44,62.6,48.826,49.203,66.845,299,-0.435,6.7,33.11,13.71,3.01,14.38,20.4,10.03,40.8,59.2,-13,3.10E-10,9,4,10,2,26,18,32.96,30.99,512
4FS4,90,90,90,86.5,90.364,131.146,390,-0.105,4.98,37.18,11.79,3.59,10,18.97,13.59,46.67,53.33,-6.5,1.80E-05,8,5,2,0,2,0,26.12,38.99,675
4FUK,90,90,90,48.385,75.545,180.997,337,-0.353,6.51,35.31,8.01,4.45,14.24,18.99,13.65,44.51,55.49,-10,4.60E-08,4,8,29,6,16,15,31.03,39.54,631
4FZ2,90,90,120,112.021,112.021,81.079,395,-0.426,9.81,34.43,11.39,2.28,19.24,18.48,11.14,46.58,53.42,-21.2,2.80E-16,46,54,54,9,38,41,39.54,31.48,692
4G41,90,90,90,49.735,72.345,116.246,236,0.295,5.51,47.88,7.63,4.24,10.17,18.64,9.75,44.07,55.93,-13.6,1.10E-10,14,6,26,2,26,58,23.41,45.82,438
4G6C,90,91.07,90,48.83,89.68,67.1,348,-0.037,8.08,45.11,5.75,3.45,16.09,16.09,9.77,43.97,56.03,-11.2,5.70E-09,12,20,25,5,24,20,30.5,46,701
4G89,90,128.46,90,115.346,59.242,82.926,237,0.273,5.3,49.37,5.06,3.8,10.97,18.57,10.13,45.99,54.01,-11.9,2.00E-09,13,0,35,2,17,46,27.24,45.51,421
4GAD,90,90,90,80.6,97.33,127.15,267,-0.139,6.37,42.7,5.62,3.37,12.36,17.23,12.36,40.82,59.18,-19.3,6.90E-15,10,22,58,11,47,116,23.88,45.97,364
4GEL,90,107.9,90,54.994,71.172,56.318,220,-0.02,9.35,37.73,7.27,6.82,15,17.73,12.73,52.27,47.73,-13.3,1.70E-10,21,18,25,9,28,28,26.74,42.86,371
4GHO,90,90,90,38.918,64.693,78.281,96,-0.375,4.16,33.33,11.46,2.08,7.29,19.79,19.79,43.75,56.25,-7.9,1.50E-06,2,1,5,0,6,0,18.82,40,156
4GHT,90,90,90,63.885,64.254,75.811,192,-0.178,7.84,38.02,6.77,4.17,15.63,18.75,12.5,45.31,54.69,-10.5,1.90E-08,3,0,8,1,22,32,26.83,40.65,311
4GIT,90,90,90,94.283,94.283,94.283,124,-0.669,9.92,37.9,4.84,4.84,23.39,20.16,6.45,55.65,44.35,-6.1,3.50E-05,12,2,8,0,2,11,42.47,34.25,185
4GPN,90,102.23,90,58.22,91.796,94.225,480,-0.4,5.01,33.96,15.21,4.58,13.96,22.08,6.46,45.42,54.58,-16,1.90E-12,30,12,37,7,29,31,35.82,36.16,977
